Date,Time,Open,High,Low,Close,Volume,NumberOfTrades,BidVolume,AskVolume
2/8/18, 10:15:00.0,2646.5,2650.5,2643.75,2648.25,21480,11166,11257,10223
2/8/18, 10:18:00.0,2648.25,2649.5,2643.75,2645.75,13521,7977,7021,6500
2/8/18, 10:21:00.0,2645.5,2645.5,2641,2641,18261,6799,12025,6236
2/8/18, 10:24:00.0,2641,2643.5,2638.5,2639,20094,8307,12533,7561
2/8/18, 10:27:00.0,2639.25,2644,2638.75,2641.25,14602,7093,7145,7457
2/8/18, 10:30:00.0,2641.25,2645,2638.5,2641.5,24229,10210,12021,12208
2/8/18, 10:33:00.0,2641.5,2649,2641.25,2649,18807,8299,7140,11667
2/8/18, 10:36:00.0,2649,2650,2645.25,2649.75,15736,6916,7554,8182
2/8/18, 10:39:00.0,2649.75,2654.75,2645.5,2646,23365,10426,11533,11832
2/8/18, 10:42:00.0,2646,2648,2643.25,2645.75,12685,7062,6044,6641
2/8/18, 10:45:00.0,2645.75,2649.75,2641.75,2646.25,15740,8487,7857,7883
2/8/18, 10:48:00.0,2646.25,2651.75,2642.25,2650.25,12552,6645,6022,6530
2/8/18, 10:51:00.0,2650.25,2658,2649.75,2653.75,18877,9550,8673,10204
2/8/18, 10:54:00.0,2653.75,2654.75,2650,2650.75,12077,6391,6186,5891
2/8/18, 10:57:00.0,2651,2652.5,2647.25,2647.5,11174,5387,5908,5266
2/8/18, 11:00:00.0,2647.75,2650.75,2646,2649.5,12940,6222,5843,7097
2/8/18, 11:03:00.0,2649.75,2651.75,2647.5,2648,11029,5537,5276,5753
2/8/18, 11:06:00.0,2648,2648.25,2644,2645.5,10254,5576,5378,4876
2/8/18, 11:09:00.0,2645.5,2646,2642.25,2643.25,11221,4693,6567,4654
2/8/18, 11:12:00.0,2643.5,2646,2642.25,2642.75,9633,4980,4696,4937
2/8/18, 11:15:00.0,2642.75,2644,2641.5,2642,11020,4556,6185,4835
2/8/18, 11:18:00.0,2641.75,2643.25,2639,2639,12108,5187,7397,4711
2/8/18, 11:21:00.0,2639,2639.25,2633,2635,22296,8968,12441,9855
2/8/18, 11:24:00.0,2635,2635.25,2629.75,2630.25,20456,7442,11311,9145
2/8/18, 11:27:00.0,2630.25,2635.75,2627.25,2633.5,26003,10069,11655,14348
2/8/18, 11:30:00.0,2633.25,2636.25,2630.75,2630.75,15492,6457,7648,7844
2/8/18, 11:33:00.0,2630.75,2631.75,2627.25,2631.25,22281,9342,11175,11106
2/8/18, 11:36:00.0,2631.25,2635.25,2629.75,2633,14901,7200,7022,7879
2/8/18, 11:39:00.0,2633,2641.75,2631.25,2641,22347,10262,9525,12822
2/8/18, 11:42:00.0,2641.25,2643.5,2634.25,2635.5,21039,10016,11358,9681
2/8/18, 11:45:00.0,2635.25,2636.75,2627.25,2627.5,17605,8751,10121,7484
2/8/18, 11:48:00.0,2627.5,2630.75,2624.25,2624.5,20358,9435,11056,9302
2/8/18, 11:51:00.0,2624.5,2625.25,2618.5,2619.5,28929,11638,14575,14354
2/8/18, 11:54:00.0,2619.5,2620.75,2613.25,2615,33904,13437,18625,15279
2/8/18, 11:57:00.0,2615,2625.25,2614.75,2623.75,30118,13259,13371,16747
2/8/18, 12:00:00.0,2623.75,2626.25,2617.5,2619.5,30567,13284,15074,15493
2/8/18, 12:03:00.0,2619.5,2624,2618.5,2621.75,18899,8883,9543,9356
